pl_name,sy_snum,sy_pnum,cb_flag,disc_year,disc_locale,disc_facility,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pl_controv_flag,pl_orbper,pl_rade,pl_dens,ttv_flag,st_teff,st_rad,st_mass,st_lum,st_logg
Kepler-378 b,1,2,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,16.092361,0.75,4.52,0,4661,0.67,0.78,-0.655,4.65
BD+20 2457 c,1,2,0,2009,Ground,McDonald Observatory,1,0,0,0,0,0,0,0,0,0,621.99,12.4,11.4,0,4137,49,2.8,3.17,1.51
K2-65 b,1,1,0,2016,Space,K2,0,0,0,1,0,0,0,0,0,0,12.6475,1.58,4.35,0,5213,0.84,0.87,-0.328,4.53
Kepler-144 b,1,2,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,5.885273,1.33,5.44,0,6075,1.24,1.15,0.282,4.29
Kepler-1617 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,27.4785572,1.2,5.95,0,6167,1.22,1.15,0.341,4.32
HD 149026 b,1,1,0,2005,Ground,Subaru Telescope,1,0,0,1,0,1,0,0,0,0,2.87589,8.295,0.75,0,6179,1.41,1.42,0.48,4.37
Kepler-1549 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,214.886545,2.57,2.31,0,5324,0.84,0.88,-0.273,4.54
HD 33844 b,1,2,0,2015,Ground,Anglo-Australian Telescope,1,0,0,0,0,0,0,0,0,0,551.40002,13.4,1.46,0,4861,5.39,1.84,1.149,3.24
Kepler-245 b,1,4,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,7.49019,2.57,2.31,1,5100,0.8,0.86,-0.396,4.56
HATS-55 b,1,1,0,2019,Ground,HATSouth,1,0,0,1,0,0,0,0,0,0,4.2042001,14.022,0.587,0,6214,1.13,1.2,0.229,4.41
HAT-P-11 b,1,2,0,2008,Ground,HATNet,1,0,0,1,0,0,0,0,0,0,4.88780244,4.36,1.68,0,4780,0.68,0.81,-0.567,4.66
HD 20794 e,1,4,0,2017,Ground,La Silla Observatory,1,0,0,0,0,0,0,0,0,0,147.02,2.03,3.13,0,5401,0.92,0.81,-0.163,4.46
Kepler-1427 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,0.96897238,1.1,5.66,0,5793,1.01,1.01,0.016,4.44
17 Sco b,1,1,0,2020,Ground,Lick Observatory,1,0,0,0,0,0,0,0,0,0,578.38,12.9,3.51,0,4157,25.92,1.22,2.254,1.7
K2-244 b,1,1,0,2018,Space,K2,0,0,0,1,0,0,0,0,0,0,21.06884,1.75,3.8,0,5677,0.92,0.86,-0.118,4.44
Kepler-994 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,1.15116651,1.6,4.28,0,3934,0.54,0.56,-1.139,4.72
HD 69830 c,1,3,0,2006,Ground,La Silla Observatory,1,0,0,0,0,0,0,0,0,0,31.56,3.46,1.57,0,5385,0.89,0.86,-0.22,4.49
K2-39 b,1,1,0,2016,Space,K2,1,0,0,1,0,0,0,0,0,0,4.60543,6.277,0.5,0,4881,2.97,0.66,0.674,3.44
Kepler-476 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,14.00640607,3.08,1.82,0,5837,1.09,1.03,0.095,4.38
Kepler-936 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,10.56134221,1.45,4.87,0,5482,0.89,0.92,-0.19,4.51
Kepler-196 c,1,3,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,47.427737,2.24,2.76,1,5128,0.78,0.85,-0.393,4.57
Kepler-1401 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,11.20066445,1.68,4.01,0,5964,1.1,1.07,0.14,4.39
HD 159243 b,1,2,0,2013,Ground,Haute-Provence Observatory,1,0,0,0,0,0,0,0,0,0,12.62,13.7,0.767,0,6123,1.12,1.12,0.114,4.55
Kepler-80 e,1,6,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,4.64489,1.6,3.75,1,4540,0.68,0.73,-0.77,4.64
Kepler-132 c,2,4,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,6.414914,1.28,5.71,0,6003,1.18,0.98,0.211,4.31
70 Vir b,1,1,0,1996,Ground,Lick Observatory,1,0,0,0,0,0,0,0,0,0,116.688,12.6,6.54,0,5495,1.89,1.09,0.451,3.95
Kepler-284 b,1,2,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,12.699149,2.24,2.76,0,5615,0.81,0.92,-0.341,4.58
HD 222076 b,1,1,0,2016,Ground,Multiple Observatories,1,0,0,0,0,0,0,0,0,0,871,13.5,1.11,0,4806,4.1,1.07,0.929,3.31
Kepler-150 b,1,5,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,3.428054,1.25,5.91,0,5560,0.94,0.94,-0.161,4.47
K2-43 c,1,2,0,2019,Space,K2,0,0,0,1,0,0,0,0,0,0,2.198884,2.42,2.5,0,3840.6,0.54,0.57,-1.212,4.68
HAT-P-3 b,2,1,0,2007,Ground,HATNet,1,0,0,1,0,0,0,0,0,0,2.8997,10.536,0.855,0,5185,0.87,1.06,-0.36,4.56
KELT-19 A b,2,1,0,2017,Ground,KELT,1,0,0,1,0,0,0,0,0,0,4.6117093,21.409,0.744,1,7500,1.83,1.62,0.978,4.13
BD-11 4672 b,1,2,0,2014,Ground,La Silla Observatory,1,0,0,0,0,0,0,0,0,0,1634,14.1,0.405,0,4550,0.64,0.65,-0.804,4.64
TRAPPIST-1 g,1,7,0,2017,Multiple Locales,Multiple Observatories,0,0,0,1,0,0,0,0,0,0,12.352446,1.129,5.055986,1,2566,0.12,0.09,-3.257,5.24
Kepler-164 d,1,3,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,28.986769,2.45,2.45,0,5888,1.15,1.09,0.113,4.33
XO-5 b,1,1,0,2008,Ground,XO,1,0,0,1,0,0,0,0,0,0,4.1877558,12.78,1.06,0,5430,1.13,1.04,-0.06,4.35
Kepler-1530 d,1,3,0,2021,Space,Kepler,0,0,0,1,0,0,0,0,0,0,9.20761013,3.279,1.68,0,5678,1.3,1.01,-0.311,4.21
Kepler-1302 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,8.83922659,1.43,4.94,0,5236,0.82,0.86,-0.467,4.55
Kepler-669 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,4.12554687,4.83,1.01,0,6038,1.2,1.15,0.358,4.34
Kepler-1874 b,1,1,0,2021,Space,Kepler,0,0,0,1,0,0,0,0,0,0,56.57320023,2.211,2.81,0,4701,0.78,0.76,-0.577,4.54
NGTS-8 b,1,1,0,2019,Ground,Paranal Observatory,1,0,0,1,0,0,0,0,0,0,2.4997,12.218,0.89,0,5241,0.98,0.89,-0.21,4.41
Kepler-327 b,1,3,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,2.549575,1.11,5.67,0,3799,0.49,0.59,-1.26,4.76
K2-243 b,1,2,0,2018,Space,K2,0,0,0,1,0,0,0,0,0,0,11.54182,2.17,2.88,0,6570,1.39,1.29,0.427,4.26
KIC 10525077 b,1,1,0,2015,Space,Kepler,0,0,0,1,0,0,0,0,0,0,854.083,5.5,0.855,0,6091,1.01,1.01,0.129,4.42
HD 155193 b,1,1,0,2021,Ground,Haute-Provence Observatory,1,0,0,0,0,0,0,0,0,0,352.65,14,0.477,0,6239,1.76,1.22,0.641,4.26
Kepler-224 c,1,4,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,5.925003,3.12,1.79,0,5018,0.68,0.82,-0.514,4.64
HD 180617 b,2,1,0,2018,Ground,Calar Alto Observatory,1,0,0,0,0,0,0,0,0,0,105.911,3.53,1.53,0,3534,0.48,0.48,-1.49,4.9
GJ 3998 b,1,2,0,2016,Ground,Roque de los Muchachos Observatory,1,0,0,0,0,0,0,0,0,0,2.64977,1.38,5.16,0,3722,0.49,0.5,-1.387,4.77
Kepler-84 f,1,5,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,44.552169,2.2,2.83,0,6031,1.17,1.06,0.212,4.32
Kepler-320 c,1,2,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,17.934937,1.37,5.24,0,6435,1.11,1.33,0.374,4.42
Kepler-261 b,1,2,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,10.381227,2.18,2.86,0,5098,0.79,0.88,-0.471,4.56
K2-340 b,1,1,0,2016,Space,K2,0,0,0,1,0,0,0,0,0,0,29.740451,3.36,1.62,0,5532,1.13,0.93,-0.002,4.3
OGLE-TR-10 b,1,1,0,2004,Ground,OGLE,1,0,0,1,0,0,0,0,0,0,3.101278,14.011,0.4,0,5950,1.17,1.14,0.188,4.18
